0,1,2,3,4,5,6,7,8,9
38,62,98,74,42,103,29,107,101,97
100,92,77,74,102,38,70,19,50,149
125,83,53,130,102,60,92,3,128,25
35,135,82,128,149,148,132,77,130,24
84,34,91,74,154,64,92,6,128,51
78,62,6,134,142,77,139,25,128,154
56,123,38,111,81,138,135,4,130,149
56,70,138,50,42,140,92,98,130,43
140,83,98,128,144,23,135,77,145,126
77,113,93,130,154,78,132,65,128,155
92,105,98,130,102,23,62,77,10,36
92,151,98,130,42,137,57,84,50,154
107,137,140,63,42,38,111,132,128,43
146,132,3,130,97,33,62,108,50,88
40,132,145,37,43,100,62,6,116,51
52,62,6,116,51,16,1,4,74,149
107,62,19,50,36,60,92,126,96,13
56,137,111,10,142,140,151,126,50,88
9,62,6,17,81,23,129,42,50,140
92,62,3,10,51,125,5,4,130,149
87,5,53,49,55,79,62,77,74,24
23,152,38,130,81,22,1,98,134,13
22,104,111,156,42,124,29,2,130,149
23,109,135,74,144,118,69,138,116,51
64,57,111,145,43,92,83,4,130,149
129,71,53,101,154,107,104,114,96,43
148,56,93,50,88,125,132,41,128,97
84,123,38,130,149,65,151,98,128,88
100,29,135,63,51,124,129,109,156,149
38,137,138,20,43,7,132,126,50,42
70,69,19,10,55,118,104,53,26,44
40,113,83,74,144,100,104,62,101,87
107,151,114,49,43,71,69,38,74,117
125,83,77,128,51,4,57,126,130,102
107,109,121,20,72,131,105,114,74,154
107,105,88,128,11,78,104,74,41,97
40,57,6,50,24,56,29,135,128,89
140,62,12,28,127,23,83,65,63,97
56,83,126,74,127,92,57,2,128,81
118,92,25,134,102,56,62,135,101,155
124,132,77,50,102,8,62,14,145,81
38,27,135,50,155,56,69,107,10,149
125,69,141,116,36,52,113,33,128,133
107,69,126,10,149,77,62,98,50,71
132,5,138,89,55,56,57,93,128,33
64,62,12,74,42,72,83,4,10,39
124,60,125,10,102,11,62,6,101,107
79,14,112,145,55,124,29,73,63,51
30,34,83,128,43,84,132,64,63,31
125,132,123,10,102,38,135,77,130,149
72,5,41,145,55,87,92,2,134,51
118,83,59,20,31,73,69,92,10,149
136,62,121,130,149,56,29,114,50,126
77,62,114,145,55,87,123,140,50,108
92,62,98,74,126,72,5,114,130,133
77,5,98,128,122,141,62,37,116,21
100,62,126,74,42,40,69,56,116,149
107,92,37,50,88,134,137,135,130,97
26,132,98,130,149,56,135,6,29,24
65,104,12,134,144,77,83,140,128,155
71,114,62,128,97,77,132,59,74,42
107,5,59,50,81,140,69,56,130,11
141,62,59,128,154,15,151,126,74,42
141,83,3,128,88,92,71,65,24,50
22,69,98,130,149,125,132,3,116,111
124,139,53,49,47,137,132,56,74,43
78,137,107,130,149,124,57,146,116,51
140,5,98,134,72,78,132,127,128,53
55,151,138,130,42,95,34,2,29,144
148,109,77,74,88,41,113,126,18,42
148,132,98,50,149,92,113,6,128,24
72,123,121,116,155,149,62,2,145,63
77,148,135,28,155,124,5,137,145,51
141,92,140,101,13,124,151,3,63,55
98,62,6,74,42,125,151,41,116,154
38,132,126,21,117,131,109,121,145,81
146,62,114,50,42,77,132,22,96,144
15,119,6,50,102,52,132,2,116,149
92,83,3,10,144,77,132,135,26,44
38,62,114,74,42,56,69,138,50,154
148,5,134,74,142,15,29,33,130,97
138,92,52,28,47,106,137,144,134,83
95,123,146,10,149,64,83,2,128,51
118,62,4,63,102,100,92,19,20,55
87,69,38,45,133,23,62,4,116,155
