tier,leagueId,queue,name,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,vYvL2YFxLhAmOCU2MPO077LOF1rIEE8P9BGSnXtPEokgesI,전상득,625,I,94,76,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,yengqeIR0gcJIowtGPsCPgzaaLX3gFqnI_kC4Sv2MrY5cD4,히히 못먹어,598,I,79,57,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,qLjzDKY8hp0IkA1dAl1FhoLJjf5I8LznBVvZS1s-ULYOylw,갱붕이,447,I,66,52,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,gUxlsBryEYybsOVlBXc5TfM07tCPHam1DdWvhWMw4AkQE9I,칼과 창 방패,759,I,80,61,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,BRXrJkoozSnqSSRdEhCnEXHUlZz0HfutWHAybuV4mEoBJ-4,패배를까먹은사람,935,I,88,54,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,fOxYa2W1TC5dBl35DHt79pAsnpLVZYSWOfu-9yniz7fgPLU,Twitch Tv 쥐린내,614,I,77,43,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,-pb19a62p9ZmRppebLllbqFUQAjXH9Z6UGJgeu0gcgpsaxU,권 지 인,521,I,61,43,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,87NvQD2b49KdvoFpJ0csdbub5BW7JfHESb0fQFlKr-VDvw,huya jincanyi,575,I,57,35,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,T4EdIIx3ticsQTXelAW9pKDRYXiQemAijIVvmoasSRSY-UM,달리기 왕,582,I,56,34,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,axwm8N5-mQ6uxZttPgqLR8al8AXujBhxZVyfanhroYJR6kz6,A glance,998,I,97,64,False,False,True,True
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,qzCI9Dd62mDlmby67mEZ2EIddaR8L2k6pccdZlfbvpRj62pgV2oiIqy47g,duimianxiaodai,488,I,80,46,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,2AQuc10rk58bGdm0LPUF-iSx4QOvLMeZ7i-Tdd79hZVtEyuVTqkPXXtUmg,Dispel haze,770,I,85,53,False,False,True,True
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,h49v3uctVNLzQ8BbYce16FqUaUbDBEXGZkITjiNrve8I7k-idWHChU3mAQ,0o0OoO,648,I,78,65,False,False,True,False
