tier,leagueId,queue,name,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,puuid,profileIconId,revisionDate,summonerLevel
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,vYvL2YFxLhAmOCU2MPO077LOF1rIEE8P9BGSnXtPEokgesI,전상득,625,I,94,76,False,False,True,False,8ahR0k3gdLjqL0g70bw9ScDPnYylRzUl7jPKVSe2gcYP_kQ0ASKeMvBU,IcUpgKCENm3fcuG_9TrszuZzOiDT1mh280Mbbxep38_P5gKFVO0LDoUgqJBkbc7SM8BPBSE764Ck_g,5131,1641952040035,411
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,yengqeIR0gcJIowtGPsCPgzaaLX3gFqnI_kC4Sv2MrY5cD4,히히 못먹어,598,I,79,57,False,False,True,False,WfSvJi80r6B2LaK9DBOLMAQbEJ22EPY4vpm3rGu5SmvZS7dRP4FrmEuG,NvxnQ_1vU-JxTxSgmlmSuy-3-ixG85v-Ul1N8AP5R6jbMUSJAWyl7FcGSvPeg5q6NyKMIdKRQFRYfQ,1385,1641360618000,106
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,qLjzDKY8hp0IkA1dAl1FhoLJjf5I8LznBVvZS1s-ULYOylw,갱붕이,447,I,66,52,False,False,True,False,_5IYoO66Ii6hKhi2X6tT79aQ1J9hNR6CndsaUMB2aEizVIYEkf84-_w3,a09XdpcuQbE72Xp_Vm6d7q11GZgaihesd1kLvvgjF3HMloDZQIwA9LL1-N0dLn3iII_ARvJDF-gAlA,13,1642237159587,365
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,gUxlsBryEYybsOVlBXc5TfM07tCPHam1DdWvhWMw4AkQE9I,칼과 창 방패,759,I,80,61,False,False,True,False,DgjHkU0PKXU0MHfeFNWsLwBcs8G5d8zPnCNRsM-2itFMnNk,UijgFBBh2IXNq0p4PsUgb5dpisH4K6b0mh5timkAlWEqznEBWHaA3ljwDSuO6BhZou8HUWBKs7z7wg,3495,1642040813216,480
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,BRXrJkoozSnqSSRdEhCnEXHUlZz0HfutWHAybuV4mEoBJ-4,패배를까먹은사람,935,I,88,54,False,False,True,False,4GSBIYXTqxPIePaEzWHavvD1k2CBuTnGyKlzjt_ZTkj7ZdNYNHZII1a-,MZLmFfJscPW9ll8QhGkvfz0Yph4GG49jRObu4G4rQZ6ULc2ftzV0UZBCsEn4oQaN3NeKKAX9cX8gzw,1428,1641282365000,76
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,fOxYa2W1TC5dBl35DHt79pAsnpLVZYSWOfu-9yniz7fgPLU,Twitch Tv 쥐린내,614,I,77,43,False,False,True,False,YnDwd93eZT_VSAAj7uSIdUCy_sFqWPX8kS48xwWjCokGz-0,ABx4Ce742DzTbYn45ppXYBCZEqfe-IRasmTF0J4hQgu-Cr2aqnjxzKhyNC--ebld5BhYIOtTIWa7BA,4027,1642054290666,401
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,-pb19a62p9ZmRppebLllbqFUQAjXH9Z6UGJgeu0gcgpsaxU,권 지 인,521,I,61,43,False,False,True,False,fd9ST9Rub8Q3j9pMCvGGtETG0zbeEDRPZknVi2JZ_V91U0coT5noB0jB,Rm_uPHrT-I_IR9QO3as3-ZLBWVBFXjmh_hKVurLp4zOnGL29P0IFMxJd0WxyNZwqvzLgbzRWq_3LBQ,4393,1641961017000,493
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,87NvQD2b49KdvoFpJ0csdbub5BW7JfHESb0fQFlKr-VDvw,huya jincanyi,575,I,57,35,False,False,True,False,0C2SPrINLty2a5F9YncqkvYaELm9FIBeDBZ-MfFIFQml,qcAXyAJ-JXAZd0G6bJ-fNs7a7M3863OFZmSYiaumlp41aFIFjpOGf5mG7o7HmPMxitu5ZrXAPHx2Bw,4022,1642115126000,266
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,T4EdIIx3ticsQTXelAW9pKDRYXiQemAijIVvmoasSRSY-UM,달리기 왕,582,I,56,34,False,False,True,False,G1vrnWMc5VMksJsQdVrGp08GaEVi75bVzVUarRDr19sKGCufNq9MNi-1,3IbqX5B-Yo-OzyzE9CpEcTHf4WXmPmWQQGdCZZyIzfxLMnrBnr_z-XGcUlu-efS8LyG7_3_oOTIsPA,1630,1642048800000,192
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,axwm8N5-mQ6uxZttPgqLR8al8AXujBhxZVyfanhroYJR6kz6,A glance,998,I,97,64,False,False,True,True,MrW6RTwvapilZBUMejyfX-GAFE8IPGXiLP6nqwBssZt7H4Eoz3SQpCBH,T0Kx4n__S7ZASo9mEty91wxrByn0MR6wqPx7DQkKqRHIU4-cpo7n9QJPWbWws8Y8Bi7xTOHyMKI_PQ,4631,1641274423000,134
